2016,10,09,w,80.5
2016,10,09,c,2000.0
2016,10,09,f,Yogurt (4oz),1.0
2016,10,09,f,Bad Dinner,1.0
2016,10,09,f,Yogurt (4oz),1.0
2016,10,10,f,Yogurt (4oz),2.0
2016,10,10,f,PB+J Sandwich,1.0
2016,10,10,f,Cola (can),1.0
2016,10,10,f,Pizza Slice,1.5
2016,10,10,f,Cola (can),1.0
2016,10,10,f,Yogurt (4oz),1.0
2024,03,20,f,Pizza Slice,1.0
2024,03,20,f,Pizza Slice,1.0
2024,03,20,f,Pizza Slice,1.0
2024,03,20,f,Berry Pie Slice,1.0
2024,03,27,f,Hot Dog Bun,1.0
2024,03,27,f,Yogurt (4oz),1.0
2024,03,27,f,Yogurt (4oz),1.0
2024,03,27,r,HotDog&Bun,1.0,Hot Dog,1.0,Hot Dog Bun,1.0
2024,03,27,r,PB Sandwich,1.0,Peanut Butter (tbsp),2.0,Bread (slice),2.0
2024,03,27,f,Berry Pie Slice,1.0
2024,03,27,r,HotDog&Bun,1.0,Hot Dog,1.0,Hot Dog Bun,1.0
2024,03,27,r,PB Sandwich,1.0,Peanut Butter (tbsp),2.0,Bread (slice),2.0
